"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","577.7937","598.1873","598.1873","569.5344","","-3.41%"
"01/01/2026","598.1873","548.5183","621.6449","544.6650","","9.06%"
"12/01/2025","548.5183","555.1701","567.8603","534.5885","","-1.20%"
"11/01/2025","555.1701","556.9970","567.5262","539.1110","","-0.33%"
"10/01/2025","556.9970","549.9780","563.4185","537.3591","","1.28%"
"09/01/2025","549.9780","549.7115","563.6837","542.2364","","0.05%"
"08/01/2025","549.7115","553.9949","555.2724","529.9546","","-0.77%"
"07/01/2025","553.9949","543.1381","559.8766","540.8738","","2.00%"
"06/01/2025","543.1381","524.6726","591.2179","524.6726","","3.52%"
"05/01/2025","524.6726","518.1493","542.9327","510.4657","","1.26%"
"04/01/2025","518.1492","568.0834","572.1660","492.5562","","-8.79%"
"03/01/2025","568.0834","553.5848","568.5867","542.1516","","2.62%"
"02/01/2025","553.5848","561.9173","580.8649","553.1595","","-1.48%"
"01/01/2025","561.9200","549.6400","583.9700","549.6400","","2.23%"
"12/01/2024","549.6400","535.7100","551.6300","529.7600","","2.60%"
"11/01/2024","535.7093","534.2032","549.8744","525.4190","","0.28%"
"10/01/2024","534.2031","532.8835","567.8290","525.3831","","0.25%"
"09/01/2024","532.8835","536.7498","544.3440","502.4482","","-0.72%"
"08/01/2024","536.7498","551.4392","555.8704","521.8130","","-2.66%"
"07/01/2024","551.4392","578.3854","592.2092","537.7592","","-4.66%"
"06/01/2024","578.3853","573.2755","585.8961","555.7770","","0.89%"
"05/01/2024","573.2754","586.1664","595.5449","570.0653","","-2.20%"
"04/01/2024","586.1663","582.4786","606.8108","579.7365","","0.63%"
"03/01/2024","582.4785","557.9317","583.7620","555.6782","","4.40%"
"02/01/2024","557.9317","555.0681","562.2910","536.0598","","0.52%"
"01/01/2024","555.0681","535.6413","566.1497","525.7714","","3.63%"
"12/01/2023","535.6413","555.7702","558.6791","516.4174","","-3.62%"
"11/01/2023","555.7702","576.9723","588.9501","545.3878","","-3.67%"
"10/01/2023","576.9723","609.6176","613.3291","570.4147","","-5.36%"
"09/01/2023","609.6686","591.4241","623.5565","591.1649","","3.08%"
"08/01/2023","591.4241","593.3337","600.3182","571.3829","","-0.33%"
"07/01/2023","593.4022","540.4607","593.7573","536.3137","","9.80%"
"06/01/2023","540.4607","528.2247","560.1093","525.1689","","2.32%"
"05/01/2023","528.2247","564.9675","564.9675","521.6278","","-6.50%"
"04/01/2023","564.9676","574.0241","599.2268","552.0370","","-1.58%"
"03/01/2023","574.0241","581.8661","597.4176","529.7278","","-1.35%"
"02/01/2023","581.8661","606.0573","608.8233","564.5502","","-3.99%"
"01/01/2023","606.0573","610.1050","622.1381","569.2053","","-0.66%"
"12/01/2022","610.0719","621.1091","632.3582","568.9138","","-1.78%"
"11/01/2022","621.1091","636.8439","671.0861","591.0660","","-2.47%"
"10/01/2022","636.8439","607.7575","671.4729","607.7575","","4.79%"
"09/01/2022","607.7575","665.9277","665.9277","591.8181","","-8.74%"
"08/01/2022","665.9277","692.6372","703.1581","637.4427","","-3.86%"
"07/01/2022","692.6372","709.2296","730.5977","632.8500","","-2.34%"
"06/01/2022","709.2296","786.4548","825.3839","709.2171","","-9.82%"
"05/01/2022","786.4548","756.7522","813.3317","717.8473","","3.93%"
"04/01/2022","756.7522","724.1862","784.1002","700.2496","","4.50%"
"03/01/2022","724.1862","673.0486","853.2746","673.0486","","7.60%"
"02/01/2022","673.0487","623.7843","700.0093","618.9357","","7.90%"
"01/01/2022","623.7843","561.1805","628.3660","558.4681","","11.16%"
"12/01/2021","561.1805","522.4442","572.8892","509.0838","","7.41%"
"11/01/2021","522.4443","588.2094","594.8341","516.3716","","-11.18%"
"10/01/2021","588.2094","557.7056","599.8605","555.0723","","5.47%"
"09/01/2021","557.7057","527.3676","565.1663","520.7402","","5.75%"
"08/01/2021","527.3677","541.1289","541.2612","493.9939","","-2.54%"
"07/01/2021","541.1290","535.9755","549.5075","504.0913","","0.96%"
"06/01/2021","535.9755","519.2278","538.1569","512.2907","","3.23%"
"05/01/2021","519.2278","505.8542","530.4951","499.3808","","2.64%"
"04/01/2021","505.8542","467.4139","512.0073","460.9255","","8.22%"
"03/01/2021","467.4140","476.9869","500.9041","458.3189","","-2.01%"
"02/01/2021","476.9869","430.9946","493.1006","430.9946","","10.67%"
"01/01/2021","430.9947","409.7466","438.6077","406.5078","","5.26%"
"12/01/2020","409.4580","385.5940","409.7254","380.7271","","6.19%"
"11/01/2020","385.5940","340.7798","389.4634","333.1107","","13.15%"
"10/01/2020","340.7799","350.1780","365.4283","334.4192","","-2.68%"
"09/01/2020","350.1780","358.2108","362.6131","332.6869","","-2.24%"
"08/01/2020","358.2109","339.8209","363.1297","337.3671","","5.41%"
"07/01/2020","339.8210","325.4830","346.3181","324.6850","","4.41%"
"06/01/2020","325.4830","307.0756","333.8396","302.5725","","5.99%"
"05/01/2020","307.0756","257.0446","308.0562","251.7750","","19.46%"
"04/01/2020","257.0446","255.5416","292.7880","217.9503","","0.59%"
"03/01/2020","255.5416","358.4439","378.2757","249.4273","","-28.71%"
"02/01/2020","358.4439","388.8018","406.6089","354.0859","","-7.81%"
"01/01/2020","388.8018","436.7599","453.1630","386.8643","","-10.87%"
"12/01/2019","436.2189","409.1913","443.3378","408.6323","","6.61%"
"11/01/2019","409.1913","407.5104","423.6549","407.0099","","0.41%"
"10/01/2019","407.5104","403.6126","417.5896","370.1275","","0.97%"
"09/01/2019","403.6126","397.0581","437.3462","388.4869","","1.65%"
"08/01/2019","397.0581","422.4391","422.4391","385.8164","","-6.01%"
"07/01/2019","422.4391","425.3581","436.7712","410.5644","","-0.69%"
"06/01/2019","425.3581","407.7638","432.7702","394.8968","","4.31%"
"05/01/2019","407.7638","446.4518","447.7199","407.0135","","-8.67%"
"04/01/2019","446.4518","434.1253","458.6667","434.1253","","2.84%"
"03/01/2019","434.1253","426.3466","440.6232","415.1518","","1.82%"
"02/01/2019","426.3466","407.8907","431.5452","402.8001","","4.52%"
"01/01/2019","407.8907","374.3282","415.1157","369.5535","","8.97%"
"12/01/2018","374.3282","406.5198","422.8652","365.9394","","-7.92%"
"11/01/2018","406.5197","456.3168","457.8904","400.0247","","-10.91%"
"10/01/2018","456.3168","486.2795","504.3294","455.3227","","-6.16%"
"09/01/2018","486.2794","468.6881","488.3528","456.6156","","3.75%"
"08/01/2018","468.6881","464.8324","471.2727","443.3211","","0.83%"
"07/01/2018","464.8324","487.4373","487.4373","448.2172","","-4.64%"
"06/01/2018","487.4372","481.4273","488.3720","457.4799","","1.25%"
"05/01/2018","481.4273","475.7616","497.9823","469.2034","","1.19%"
"04/01/2018","475.7616","452.9353","479.7343","439.3048","","5.04%"
"03/01/2018","452.9353","443.3807","457.7705","436.6278","","2.15%"
"02/01/2018","443.3807","456.5330","462.2236","424.5855","","-2.88%"
"01/01/2018","456.5330","442.4357","465.8296","441.5399","","3.19%"
"12/01/2017","442.4357","424.2574","443.2997","413.7987","","4.28%"
"11/01/2017","424.2574","415.1419","432.0907","413.1466","","2.20%"
"10/01/2017","415.1419","399.3082","416.1082","390.3713","","3.97%"
"09/01/2017","399.3082","386.0041","406.1260","382.9666","","3.45%"
"08/01/2017","386.0041","388.0653","390.8692","371.8896","","-0.53%"
"07/01/2017","388.0653","372.3775","388.4450","363.4533","","4.21%"
"06/01/2017","372.3775","377.8538","380.9227","351.0973","","-1.45%"
"05/01/2017","377.8538","382.7658","394.9437","361.2262","","-1.28%"
"04/01/2017","382.7658","388.2245","403.0416","377.1620","","-1.41%"
"03/01/2017","388.2245","402.2199","405.3113","373.8730","","-3.48%"
"02/01/2017","402.2199","395.8302","409.1227","393.9101","","1.61%"
"01/01/2017","395.8302","398.1954","405.6180","388.8276","","-0.60%"
"12/01/2016","398.2039","377.2212","401.9152","376.2132","","5.56%"
"11/01/2016","377.2212","361.6230","379.3302","346.2047","","4.31%"
"10/01/2016","361.6230","364.4711","381.1020","361.0860","","-0.78%"
"09/01/2016","364.4711","348.2078","365.8137","341.2348","","4.67%"
"08/01/2016","348.2078","339.3952","372.0104","329.4018","","2.60%"
"07/01/2016","339.3952","374.0323","376.9073","333.2505","","-9.26%"
"06/01/2016","374.0323","370.9456","392.2399","362.4692","","0.83%"
"05/01/2016","370.9456","360.4070","374.9962","342.2777","","2.92%"
"04/01/2016","360.4070","323.3931","363.4704","309.0974","","11.44%"
"03/01/2016","323.4185","303.6298","340.7920","300.8680","","6.52%"
"02/01/2016","303.6298","300.6680","307.9799","280.2403","","0.99%"
"01/01/2016","300.6679","313.0684","317.5166","268.4058","","-3.52%"
"12/01/2015","311.6524","336.1496","339.1603","303.5347","","-7.29%"
"11/01/2015","336.1496","363.4441","370.3356","331.4841","","-7.51%"
"10/01/2015","363.4441","359.9150","386.1180","349.7723","","1.14%"
"09/01/2015","359.3369","380.8480","380.8480","354.1561","","-5.65%"
"08/01/2015","380.8480","378.3843","381.1822","334.3220","","0.65%"
"07/01/2015","378.3843","440.6926","440.6926","377.0640","","-14.14%"
"06/01/2015","440.6926","439.0936","450.3730","424.0622","","0.36%"
"05/01/2015","439.0937","445.5848","458.6795","424.0820","","-1.46%"
"04/01/2015","445.5848","396.6491","446.0030","395.3987","","12.34%"
"03/01/2015","396.6492","421.2419","421.3834","383.1626","","-5.84%"
"02/01/2015","421.2419","389.6819","428.5861","384.5017","","8.10%"
"01/01/2015","389.6819","418.1225","421.5643","372.1627","","-6.80%"
"12/01/2014","418.1225","479.1313","494.2051","415.0947","","-13.27%"
"11/01/2014","482.1124","539.5063","542.4941","481.0687","","-10.65%"
"10/01/2014","539.5923","574.6780","580.5638","526.9879","","-6.04%"
"09/01/2014","574.2939","610.3964","610.3964","573.2210","","-5.99%"
"08/01/2014","610.9172","621.3291","623.2529","597.9967","","-1.73%"
"07/01/2014","621.7026","658.6699","659.9107","620.8398","","-5.60%"
"06/01/2014","658.5723","649.2202","672.5403","643.2384","","1.38%"
"05/01/2014","649.6324","652.3050","660.7350","646.4343","","-0.44%"
"04/01/2014","652.5111","648.6354","663.4610","634.5349","","0.56%"
"03/01/2014","648.8570","650.2828","663.4803","636.4564","","-0.12%"
"02/01/2014","649.6444","621.8761","654.7819","617.6379","","4.40%"
"01/01/2014","622.2558","632.7500","635.0200","603.5600","","-1.59%"
"12/01/2013","632.2858","620.7400","642.5900","618.4000","","1.96%"
"11/01/2013","620.1170","622.5400","626.7500","604.6300","","-0.39%"
"10/01/2013","622.5243","632.4400","644.0900","620.0100","","-1.56%"
"09/01/2013","632.3998","657.4400","664.8100","628.2700","","-3.75%"
"08/01/2013","657.0511","638.9900","675.4400","623.1500","","2.88%"
"07/01/2013","638.6382","611.2300","654.1600","609.2900","","4.47%"
"06/01/2013","611.2961","615.7200","637.4000","604.5700","","-0.68%"
"05/01/2013","615.4581","621.1100","636.3200","608.0800","","-1.44%"
"04/01/2013","624.4350","652.9600","655.9500","596.3600","","-4.67%"
"03/01/2013","655.0464","647.0600","659.2100","637.8900","","1.05%"
"02/01/2013","648.2096","675.9400","681.7000","646.4500","","-4.02%"
"01/01/2013","675.3659","649.2700","677.1200","642.3600","","4.45%"
"12/01/2012","646.5846","652.1200","657.1100","629.7400","","-0.53%"
"11/01/2012","650.0503","637.2500","652.3600","622.4500","","1.93%"
"10/01/2012","637.7365","663.7800","674.7700","633.0700","","-4.20%"
"09/01/2012","665.7263","680.9300","699.1300","646.7000","","-1.38%"
"08/01/2012","675.0332","634.6600","682.3500","628.6500","","6.17%"
"07/01/2012","635.8224","596.5700","654.9100","590.4200","","6.07%"
"06/01/2012","599.4434","595.2700","602.2400","555.5600","","0.54%"
"05/01/2012","596.2044","684.2200","689.0400","594.4800","","-12.95%"
"04/01/2012","684.8785","691.2500","702.0900","667.9800","","-0.56%"
"03/01/2012","688.7121","703.4200","717.4500","680.8700","","-2.10%"
"02/01/2012","703.4976","662.2000","715.7700","653.6700","","6.48%"
"01/01/2012","660.6774","650.7800","673.5200","647.6600","","2.44%"
